"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IAKTCPMS","bookSection","2014","Arrigoni, Eleonora; Rodríguez-López, Eduardo","La red de investigación de «Humanidades Digitales y Letras Hispánicas»: avance de Red-ARACNE","Visibilidad y divulgación de la investigación desde las Humanidades Digitales. Experiencias y proyectos","978-84-8081-412-6","","","http://hdl.handle.net/10171/35723","En el Grupo de Investigación Siglo de Oro (GRISO) de la Universidad de Navarra, llevamos ya tiempo trabajando en proyectos que se inscriben claramente en el ámbito de las Humanidades Digitales. El último de los proyectos que hemos impulsado tiene que ver con la aplicación de las nuevas tecnologías a la visibilidad y la difusión de los resultados de investigación. Se trata de uno de los retos que la sociedad de la información nos ha lanzado a los humanistas, ya que en la difusión de los resultados de nuestras investigaciones, en la difusión y divulgación del conocimiento, está precisamente uno de los puntos fuertes de la transferencia de las Humanidades hacia la sociedad en general.","2014","2024-09-02 17:01:31","2024-09-02 17:01:31","","","","","","","","","","","","","Servicio de Publicaciones de la Universidad de Pamplona","Pamplona","","","","","","","","Citation Key: Arrigoni.Rodriguez-Lopez2014red","","","","#nosource","","Baraibar, Álvaro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RMUQS86V","conferencePaper","2018","Allés Torrent, S.; Río Riande, G. del","Enseñar edición digital con TEI en español. Aprendizaje situado y transculturación","Humanidades Digitales. Construcciones locales en contexto. Actas del I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","978-987-40-1997-4","","","","A medida que el interés y la práctica de las Humanidades Digitales crecen -aunque de forma algo desigual- en Latinoamérica y España, puede también observarse un incremento en el uso de algunos de sus estándares y metodologías más representativos. Tal es el caso de la Text Encoding Initiative (TEI). De la mano de ello, han ido surgiendo formaciones de posgrado o capacitaciones de carácter más general en Humanidades Digitales, especialmente en Norteamérica. En estos cursos, la codificación de textos, especialmente con TEI, suele ser una de las asignaturas centrales. El panorama global, de todos modos, sigue estando dominado por las aproximaciones anglófonas, y los contenidos en lengua española son todavía muy pocos. A pesar de los debates que se están teniendo sobre la necesidad de democratización y de diversificación lingüística, es mucho el trabajo que queda por hacer para que las comunidades de humanistas digitales, principalmente en Latinoamérica, puedan adoptar este estándar para la edición académica de textos. No obstante, esta situación va mejorando a medida que el campo se enriquece con aportaciones, tanto de otras disciplinas, comunidades y regiones fuera de la angloesfera","2018","2024-09-02 17:01:22","2024-09-02 17:01:22","","(235-248)","","","1","","","","","","","","Universidad de Buenos Aires. Editorial de la Facultad de Filosofía y Letras","Buenos Aires","Español","","","","","","","Citation Key: AllesTorrent.RioRiande2018Ensenar","","","","#nosource","","Río Riande, G. del; Calarco, G.; Striker, G.; León, R. de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","","","","","","","","","","","","","","",""
"5CQ5XI3A","journalArticle","2019","Allés Torrent, Susanna","Sobre la complejidad de los datos en Humanidades, o cómo traducir las ideas a datos","Revista de Humanidades Digitales","","2531-1786","10/gk786m","http://revistas.uned.es/index.php/RHD/article/view/24679","Este artículo explora el concepto de datos informáticos aplicados a las Humanidades a través de tres perspectivas diferentes: en primer lugar, se analiza el significado del término desde un punto de vista histórico y se sitúa en el contexto de las Humanidades Digitales prestando atención a su acepción más técnica. A continuación, se discute sobre la naturaleza, las tipologías y se abordan algunos debates de los últimos años, como es el de su aparente objetividad. Por último, y en conexión con la producción, gestión y análisis de los datos, se toma en consideración el fenómeno big data y los desafíos de su aplicación en el terreno de las Humanidades. Se pretende, en definitiva, poner de relieve el papel central de los datos en el quehacer humanístico y cómo, para el humanista actual, existen competencias digitales básicas ineludibles.","2019-11-01","2024-09-02 17:01:21","2024-09-02 17:01:21","2020-12-29 16:20:36","1-28","","","4","","","","","","","","","","es","Copyright (c) 2019 Susanna Allés Torrent","","","","revistas.uned.es","","Number: 0 Citation Key: AllesTorrent2019Sobre","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WW77PTU8","journalArticle","2020","Allés Torrent, Susanna","Crítica textual y edición digital o ¿dónde está la crítica en las ediciones digitales?","Studia Aurea","","1988-1088","10/gk786k","https://studiaaurea.com/article/view/v14-alles","La presente contribución aspira a ofrecer un balance de los cambios surgidos en el terreno de la edición digital de ámbito académico, poniendo especial énfasis en el cambio de paradigma, en los modelos de edición, y en los retos que se están afrontando especialmente en el campo de la edición de los textos del Siglo de Oro. Asimismo, se ofrece una reflexión sobre qué nuevas acepciones debería integrar la idea de “crítica”  desde el punto de vista digital, así como un cuestionamiento sobre el papel que debe jugar el modelo de “edición crítica”.","2020-12-07","2024-09-02 17:01:07","2024-09-02 17:01:07","2020-12-29 16:20:24","63-98","","0","14","","","","","","","","","","es","Copyright (c) 2020 Susanna Alles Torrent","","","","studiaaurea.com","","Number: 0 Citation Key: AllesTorrent2020Critica","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z5PES7T9","document","2006","Águila Escobar, Gonzalo","Las nuevas tecnologías al servicio de la lexicografía: los diccionarios electrónicos","","","","","http://fhyc.unileon.es/SEL/actas/Aguila.pdf","Actas del XXXV Simposio Internacional de la Sociedad Española de Lingüística.","2006","2024-09-02 17:00:47","2024-09-02 17:00:47","","","","","","","","Los diccionarios electrónicos","","","","","","","Español","","","","","","","00000 Citation Key: AguilaEscobarGonzalo2006nuevas","","","","#nosource; Diccionarios; Herramientas digitales; Lexicografía","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SR3TPCSF","document","2020","Afanador Llach, María José","Clasificación y valoración de proyectos en Humanidades Digitales [Borrador]","","","","","","","2020-06-15","2024-09-02 17:00:36","2024-09-02 17:00:36","","","","","","","","","","","","","","","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CJGS7EA","book","2019","Adrián Caballero Roldán, Rafael Caballero / Martín Martín","Bid data con Python. Recolección, almacenamiento y proceso","","978-84-948972-0-7","","","","rare book","2019","2024-09-02 17:00:23","2024-09-02 17:00:23","","","","","","","","","","","","","RC Libros","","Spanish","","","","","Amazon","","00000 Citation Key: AdrianCaballeroRoldan2019Bid","","","https://www.amazon.com/DATA-PYTHON-RECOLECCION-ALMACENAMIENTO-PROCESO/dp/8494897209/ref=sr_1_1?keywords=big+data+con+python&qid=1576199794&s=books&sr=1-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQ3JVFH5","blogPost","2013","Abrego, Mileidi","Humanidades digitales (DH) ¿otro gran reto para el bibliotecario del siglo XXI ? -","Infotecarios","","","","http://www.infotecarios.com/humanidades-digitalis-dh-otro-gran-reto-del-siglo-xxi/","Ante las expectativas de grandes cambios en el siglo XXI surge una  interdisciplina emergente o movimiento denominado Humanidades digitales (o DH)   que trata de darle otro enfoque a las humanidades tradicionales  que conocemos hoy e incorporando la tecnología en la investigación o proyectos. Humanidades digitales (a menudo abreviado DH) incorporan actualmente los  materiales digitalizados o …","2013-07-22","2024-09-02 17:00:16","2024-09-02 17:00:16","2017-03-14 04:15:29","","","","","","","Humanidades digitales (DH) ¿otro gran reto para el bibliotecario del siglo XXI ?","","","","","","","es","","","","","","","Citation Key: Abrego2013Humanidades","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VUAD6FVB","journalArticle","2013","Abeillé, Constanza","Las formas digitales en la era digital: la crisis del álbum como principio organizador y la nueva función social de la canción","Signa","","","10/gk7855","","","2013","2024-09-02 17:00:12","2024-09-02 17:00:12","","185-204","","","22","","","","","","","","","","","","","","","","","Citation Key: Abeille2013formasa","","","","#nosource; musica; Nuevos medios","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2KVJ7EM","journalArticle","2013","Abadal Falgueras, Ernest; Ollé Castellà, Candela; Abad García, María Francisca; Melero, Remedios","Políticas de acceso abierto a la ciencia en las universidades españolas","Revista Española de Documentación Científica","","","","http://redc.revistas.csic.es/index.php/redc/article/view/789/923","El objetivo del artículo es analizar el estado de la cuestión de las políticas en favor del acceso abierto (OA) a la ciencia en las universidades españolas. Para ello se han establecido cinco grandes mecanismos de intervención (la creación de infraestructuras y prestación de servicios, la comunicación y difusión, la incentivación económica, la coordinación institucional así como la reglamentación u obligación) que permiten llevar a cabo políticas a favor del acceso abierto y que hemos utilizado para el análisis y la valoración de la situación. La recogida de datos se ha basado en un cuestionario enviado a los vice-rectores de investigación y se ha complementado con la consulta de directorios de repositorios, revistas científicas españolas y políticas institucionales de acceso abierto. Los resultados muestran un panorama diversificado en relación a las actuaciones llevadas a cabo, pero han permitido clasificar las universidades en cinco grupos en función del número y de la calidad de acciones que han realizado. El primero, formado por siete universidades (9% del total) que disponen de una política completa en acceso abierto. El segundo incluye a doce universidades (16%) con una política destacada. El tercero, diecisiete centros (23%) con una política encaminada y el cuarto incluye otras diecisiete universidades (23%) que han implementado una o dos acciones. Finalmente, quedan las 21 universidades (28%) que no disponen de ninguna acción para favorecer el acceso abierto a la ciencia.","2013","2024-09-02 17:00:07","2024-09-02 17:00:07","","","","2","36","","","","","","","","","","","","","","","","","ZSCC: 0000000[s0] Citation Key: AbadalFalgueras.etal2013Politicasa","","","","#Acceso_abierto; #Ciencia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JDUBNQDA","bookSection","2014","Abadal, Ernest","El acceso abierto en Humanidades","Humanidades digitales: una aproximación transdisciplinar","","","","http://www.janusdigital.es/anexos/contribucion.htm?id=43","El modelo de acceso abierto se ha extendido rápidamente en ciencias experimentales y de la salud y en ciencias sociales. A pesar de este amplio desarrollo parece que sea en las Humanidades donde existe un mayor desconocimiento de lo que es el acceso abierto y de las ventajas que puede aportar a la comunicación científica. En el texto se destacan las ventajas que supone la utilización del modelo de acceso abierto para incrementar la visibilidad y la difusión de la investigación en Humanidades y, en segundo lugar, se analiza la situación actual del acceso abierto en las publicaciones científicas de las Humanidades (las que aparecen en revistas científicas y libros, y que posteriormente se pueden archivar en repositorios), intentando determinar, cuando sea posible, cuáles son los porcentajes de la presencia del acceso abierto en cada uno de estos tres sectores (revistas, libros, repositorios).","2014","2024-09-02 17:00:04","2024-09-02 17:00:04","","17-32","","","","","","","","","","","SIELAE","A Coruña","","","","","","","","Citation Key: Abadal2014acceso","","","","#Acceso_abierto; #Humanidades_Digitales","","Baraibar, Álvaro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWKW64VS","bookSection","2022","del Rio Riande, Gimena","Digital Humanities and Visible and Invisible Infrastructures","Global debates in the digital humanities","978-1-4529-6710-3","","","","""This collection addresses the lack of perspectives beyond Westernized and Anglophone contexts in the digital humanities. Focused on work that has been underappreciated for linguistic, cultural, or geopolitical reasons, contributors showcase alternative histories that detail the rise of the digital humanities in the Global South and other ""invisible"" contexts and explore the implications of a truly global digital humanities""--","2022","2024-09-02 17:43:44","2024-09-02 17:43:44","","247-258","","","","","","","Debates in the digital humanities","","","","University of Minnesota Press","Minneapolis","","","","","","Library of Congress ISBN","AZ105","Citation Key: delRioRiande2022Digital","","","","#nosource","Developing countries; Digital humanities; Humanities; Learning and scholarship; Research; Social aspects","Fiormonte, Domenico; Chaudhuri, Sukanta; Ricaurte, Paola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53DIT2NV","book","2013","","Digital Art History. Special Issue","","","","","http://www.mindspring.com/%7Esundt-vr/toc.htm","","2013-06","2024-09-02 17:43:36","2024-09-02 17:43:36","","","141","","29","","","","Visual Resources: An International Journal of Documentation","","","","Routledge, Taylor & Francis Group","","en","","","","","","","ZSCC: 0000000[s0] Citation Key: Baca.etal2013Digitala","","","","#nosource; Arte digital","","Baca, Murtha; Helmreich, Anne; Rodríguez Ortega, Nuria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GM6TBQK2","journalArticle","2013","Alvaro, Sandra","Topologies of Art in the Information Age","Artnodes","","1695-5951","10/gk7857","http://journals.uoc.edu/ojs/index.php/artnodes/article/view/n13-alvaro","Developments in recent years in electronic art and the new media can be characterized in many ways, among them with discourses based on their development in parallel with the technologies they use or based on the development of specific features such as interactivity, communication, synaesthesia and their relationship with the virtual. This article proposes a hybrid perspective, along the lines of the discourse of Edward Shanken, with new media art and contemporary art – especially as related to vanguard movements such as kinetic art, conceptual art, performance, the Fluxus movement, Dadaism, Situationism and experimental film – being more simultaneous than continuous. Media art and contemporary art both develop from a topological thought – as expressed by authors like Bergson, Deleuze, Serres, Agamben and Latour – that is pushed into movement. Objects and stable boundaries disappear and we have, rather, a complex world, with relationships, intensities and connections as defining elements and with an ability to simultaneously generate new, mutable territories. In this setting, life feeds on information exchange and art leaves behind the stable place it formerly inhabited to venture into the creation of new contexts and forms of interaction and the production of emergent meanings, and taking account of the kinetic and immersive spaces of multimedia installations, urban space and virtual and ubiquitous web space, the coexistence of urban and web space in augmented reality, and, finally, the ecology of a connected world where technology, life, culture, nature and the local – with its global implications – are all brought together.","2013-11-01","2024-09-02 17:43:33","2024-09-02 17:43:33","2014-03-06 20:13:14","","","13","0","","","","","","","","","","","","","","","CrossRef","","00000 Citation Key: Alvaro2013Topologiesa","","; ","http://journals.uoc.edu/ojs/index.php/artnodes/article/view/n13-alvaro; http://journals.uoc.edu/ojs/index.php/artnodes/article/view/n13-alvaro","Nuevos medios; historia del arte; topología","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z7GFB7XD","journalArticle","2013","Rodríguez Ortega, Nuria","Humanidades Digitales, Digital Art History y cultura artística: relaciones y desconexiones","ArtNodes","","1695-5951","10/gk785t","http://journals.uoc.edu/ojs/index.php/artnodes","","2013","2024-09-02 17:44:10","2024-09-02 17:44:10","","","","13","","","","","","","","","","","","","","","","","","00012 Citation Key: RodriguezOrtega2013Humanidadesa","","","","#nosource; humanidades digitales; digital art history; digital humanities; historia del arte digital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZDFIXZR","journalArticle","2013","Rodríguez Ortega, Nuria","Digital Humanities, Digital Art History and Artistic Culture: Relationships and Disconnections","Artnodes","","1695-5951","10/gk785t","http://journals.uoc.edu/ojs/index.php/artnodes/article/view/n13-rodriguez","This critical analysis of the relationship between institutional digital humanities and the artistic culture discusses the low level of representation of digital and computational artistic culture in the digital humanities context. Reviewed in the search for new interpretive paradigms is the referential framework that contextualizes convergence between the visual arts, artistic culture, art history and computerized and digital media developments.","2013-11-01","2024-09-02 17:44:04","2024-09-02 17:44:04","2014-03-06 20:09:35","","","13","0","","","Digital Humanities, Digital Art History and Artistic Culture","","","","","","","","","","","","CrossRef","","00003 Citation Key: RodriguezOrtega2013Digitala","","; ","http://journals.uoc.edu/ojs/index.php/artnodes/article/view/n13-rodriguez; http://journals.uoc.edu/ojs/index.php/artnodes/article/view/n13-rodriguez","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
